Date,Latitude,Longitude,value
2016,55,5.5,10.6
2016,55,5.75,11.4
2016,55,6,12.4
2016,55,6.25,10.5
2016,55,6.5,11.4
2016,55,6.75,11.6
2016,55,7,11.9
2016,55,7.25,12
2016,55,7.5,11.8
2016,55,7.75,11.9
2016,55,8,11.9
2016,55,8.25,11.7
2016,55,8.5,12
2016,55,8.75,10.7
2016,55,9,10
2016,55,9.25,9.4
2016,55,9.5,9.2
2016,55,9.75,9
2016,55,10,9.7
2016,55,10.25,10.7
2016,55,10.5,10.9
2016,55,10.75,11.2
2016,55,11,11.2
2016,55,11.25,11.4
2016,55,11.5,10.9
2016,55,11.75,10.9
2016,55,12,10.1
2016,55,12.25,10.7
2016,55,12.5,10.8
2016,55,12.75,11.8
2016,55,13,12.7
2016,55,13.25,13
2016,55,13.5,13.2
2016,55,13.75,13.1
2016,55,14,13
2016,55,14.25,12.8
2016,55,14.5,12.3
2016,55,14.75,11.9
2016,55,15,11
2016,55,15.25,11.1
2016,55,15.5,11.5
2016,54.75,5.5,10.4
2016,54.75,5.75,11
2016,54.75,6,11.1
2016,54.75,6.25,11.1
2016,54.75,6.5,11.5
2016,54.75,6.75,12
2016,54.75,7,11.8
2016,54.75,7.25,11.8
2016,54.75,7.5,11.5
2016,54.75,7.75,11.3
2016,54.75,8,11.8
2016,54.75,8.25,11.9
2016,54.75,8.5,11.4
2016,54.75,8.75,10.5
2016,54.75,9,8.5
2016,54.75,9.25,9.3
2016,54.75,9.5,8.8
2016,54.75,9.75,8.9
2016,54.75,10,9.8
2016,54.75,10.25,10.8
2016,54.75,10.5,11.2
2016,54.75,10.75,11.3
2016,54.75,11,11.8
2016,54.75,11.25,10.6
2016,54.75,11.5,9.9
2016,54.75,11.75,9.8
2016,54.75,12,10.4
2016,54.75,12.25,12
2016,54.75,12.5,12.8
2016,54.75,12.75,12.9
2016,54.75,13,13.3
2016,54.75,13.25,13.7
2016,54.75,13.5,13.5
2016,54.75,13.75,13.1
2016,54.75,14,13.3
2016,54.75,14.25,12.7
2016,54.75,14.5,12
2016,54.75,14.75,11.4
2016,54.75,15,11.2
2016,54.75,15.25,11.2
2016,54.75,15.5,11.1
2016,54.5,5.5,9.4
2016,54.5,5.75,9.8
2016,54.5,6,10.3
2016,54.5,6.25,10.6
2016,54.5,6.5,11.4
2016,54.5,6.75,11.9
2016,54.5,7,11.4
2016,54.5,7.25,11.3
2016,54.5,7.5,11.2
2016,54.5,7.75,11.5
2016,54.5,8,11.6
2016,54.5,8.25,11.4
2016,54.5,8.5,11.3
2016,54.5,8.75,11.2
2016,54.5,9,10.5
2016,54.5,9.25,9.8
2016,54.5,9.5,9.2
2016,54.5,9.75,8.7
2016,54.5,10,9.4
2016,54.5,10.25,10.2
2016,54.5,10.5,10.8
2016,54.5,10.75,11.2
2016,54.5,11,11.4
2016,54.5,11.25,10.7
2016,54.5,11.5,11.5
2016,54.5,11.75,12.2
2016,54.5,12,12.5
2016,54.5,12.25,12.9
2016,54.5,12.5,12.7
2016,54.5,12.75,12
2016,54.5,13,11.3
2016,54.5,13.25,10.4
2016,54.5,13.5,9.9
2016,54.5,13.75,11.3
2016,54.5,14,11.5
2016,54.5,14.25,11.6
2016,54.5,14.5,11.1
2016,54.5,14.75,10.5
2016,54.5,15,10.5
2016,54.5,15.25,10.7
2016,54.5,15.5,10.8
2016,54.25,5.5,10.5
2016,54.25,5.75,10.4
2016,54.25,6,10.3
2016,54.25,6.25,10.5
2016,54.25,6.5,11
2016,54.25,6.75,11.5
2016,54.25,7,11.6
2016,54.25,7.25,11.7
2016,54.25,7.5,11.9
2016,54.25,7.75,12.1
2016,54.25,8,12.1
2016,54.25,8.25,11.7
2016,54.25,8.5,11.2
2016,54.25,8.75,11.3
2016,54.25,9,10.4
2016,54.25,9.25,10.4
2016,54.25,9.5,10.1
2016,54.25,9.75,9.4
2016,54.25,10,8.1
2016,54.25,10.25,8.4
2016,54.25,10.5,8.7
2016,54.25,10.75,9
2016,54.25,11,8.8
2016,54.25,11.25,10.6
2016,54.25,11.5,12
2016,54.25,11.75,12.6
2016,54.25,12,12.3
2016,54.25,12.25,10.4
2016,54.25,12.5,9
2016,54.25,12.75,8.5
2016,54.25,13,8.5
2016,54.25,13.25,9
2016,54.25,13.5,9.7
2016,54.25,13.75,11.3
2016,54.25,14,11.8
2016,54.25,14.25,11
2016,54.25,14.5,10.2
2016,54.25,14.75,10.3
2016,54.25,15,10.6
2016,54.25,15.25,10.6
2016,54.25,15.5,9.9
2016,54,5.5,10.4
2016,54,5.75,10.2
2016,54,6,10.3
2016,54,6.25,10.5
2016,54,6.5,10.3
2016,54,6.75,11.2
2016,54,7,11.6
2016,54,7.25,12
2016,54,7.5,12.1
2016,54,7.75,11.8
2016,54,8,11.5
2016,54,8.25,11.3
2016,54,8.5,10.7
2016,54,8.75,11.2
2016,54,9,9.8
2016,54,9.25,9.7
2016,54,9.5,9.7
2016,54,9.75,9.7
2016,54,10,8.9
2016,54,10.25,8.8
2016,54,10.5,8.8
2016,54,10.75,8.9
2016,54,11,9.4
2016,54,11.25,9.4
2016,54,11.5,9.6
2016,54,11.75,9
2016,54,12,8.1
2016,54,12.25,8.1
2016,54,12.5,8.5
2016,54,12.75,8.9
2016,54,13,8.1
2016,54,13.25,7.8
2016,54,13.5,8
2016,54,13.75,9.1
2016,54,14,9.6
2016,54,14.25,8.9
2016,54,14.5,9.3
2016,54,14.75,8.6
2016,54,15,7.2
2016,54,15.25,7
2016,54,15.5,6.8
2016,53.75,5.5,10.2
2016,53.75,5.75,9.9
2016,53.75,6,10.2
2016,53.75,6.25,11
2016,53.75,6.5,11.9
2016,53.75,6.75,10.9
2016,53.75,7,10.4
2016,53.75,7.25,10.1
2016,53.75,7.5,10.3
2016,53.75,7.75,10.6
2016,53.75,8,10.2
2016,53.75,8.25,9.9
2016,53.75,8.5,9.2
2016,53.75,8.75,8.3
2016,53.75,9,9.3
2016,53.75,9.25,9.2
2016,53.75,9.5,9.3
2016,53.75,9.75,9.4
2016,53.75,10,8.9
2016,53.75,10.25,8.8
2016,53.75,10.5,8.4
2016,53.75,10.75,7.4
2016,53.75,11,7.4
2016,53.75,11.25,7.4
2016,53.75,11.5,7.7
2016,53.75,11.75,7.6
2016,53.75,12,7.8
2016,53.75,12.25,7.7
2016,53.75,12.5,8.5
2016,53.75,12.75,8
2016,53.75,13,7.8
2016,53.75,13.25,7.3
2016,53.75,13.5,7.4
2016,53.75,13.75,7.4
2016,53.75,14,7.6
2016,53.75,14.25,7.9
2016,53.75,14.5,7.7
2016,53.75,14.75,7
2016,53.75,15,6.8
2016,53.75,15.25,6.3
2016,53.75,15.5,6.3
2016,53.5,5.5,10.2
2016,53.5,5.75,9.9
2016,53.5,6,10.3
2016,53.5,6.25,10.6
2016,53.5,6.5,10.4
2016,53.5,6.75,9.9
2016,53.5,7,9.3
2016,53.5,7.25,8.8
2016,53.5,7.5,8.7
2016,53.5,7.75,8.9
2016,53.5,8,8.7
2016,53.5,8.25,8.8
2016,53.5,8.5,7.8
2016,53.5,8.75,7.8
2016,53.5,9,8.3
2016,53.5,9.25,8.4
2016,53.5,9.5,8.8
2016,53.5,9.75,8.5
2016,53.5,10,7.7
2016,53.5,10.25,7.7
2016,53.5,10.5,7.9
2016,53.5,10.75,7
2016,53.5,11,7.2
2016,53.5,11.25,7.4
2016,53.5,11.5,7.8
2016,53.5,11.75,7.7
2016,53.5,12,7.5
2016,53.5,12.25,7.8
2016,53.5,12.5,8.2
2016,53.5,12.75,8
2016,53.5,13,7.3
2016,53.5,13.25,6.9
2016,53.5,13.5,7.1
2016,53.5,13.75,7.6
2016,53.5,14,8.2
2016,53.5,14.25,8.1
2016,53.5,14.5,7.5
2016,53.5,14.75,7.5
2016,53.5,15,7
2016,53.5,15.25,6.9
2016,53.5,15.5,6.8
2016,53.25,5.5,9.5
2016,53.25,5.75,8.4
2016,53.25,6,8.3
2016,53.25,6.25,8.9
2016,53.25,6.5,8.8
2016,53.25,6.75,8.6
2016,53.25,7,8.9
2016,53.25,7.25,9
2016,53.25,7.5,8.6
2016,53.25,7.75,8.4
2016,53.25,8,8.4
2016,53.25,8.25,8.5
2016,53.25,8.5,8.2
2016,53.25,8.75,8.5
2016,53.25,9,8.3
2016,53.25,9.25,8.4
2016,53.25,9.5,8.4
2016,53.25,9.75,8.4
2016,53.25,10,8.6
2016,53.25,10.25,8.2
2016,53.25,10.5,7.6
2016,53.25,10.75,7.3
2016,53.25,11,6.4
2016,53.25,11.25,6.4
2016,53.25,11.5,6.9
2016,53.25,11.75,7.1
2016,53.25,12,7.2
2016,53.25,12.25,7.7
2016,53.25,12.5,7.5
2016,53.25,12.75,7.5
2016,53.25,13,6.3
2016,53.25,13.25,5.7
2016,53.25,13.5,6
2016,53.25,13.75,7.6
2016,53.25,14,8.2
2016,53.25,14.25,7.7
2016,53.25,14.5,6.8
2016,53.25,14.75,6.9
2016,53.25,15,6.6
2016,53.25,15.25,6.3
2016,53.25,15.5,6.4
2016,53,5.5,9.3
2016,53,5.75,9.7
2016,53,6,10.5
2016,53,6.25,9.8
2016,53,6.5,8.9
2016,53,6.75,8.7
2016,53,7,8.4
2016,53,7.25,8.6
2016,53,7.5,8.6
2016,53,7.75,8.6
2016,53,8,8.6
2016,53,8.25,8.4
2016,53,8.5,8.5
2016,53,8.75,8.2
2016,53,9,8
2016,53,9.25,8.3
2016,53,9.5,8.5
2016,53,9.75,8.7
2016,53,10,8.3
2016,53,10.25,8.2
2016,53,10.5,7.7
2016,53,10.75,7.3
2016,53,11,7.1
2016,53,11.25,6.2
2016,53,11.5,6.6
2016,53,11.75,6.8
2016,53,12,7.1
2016,53,12.25,7.4
2016,53,12.5,6.7
2016,53,12.75,6.4
2016,53,13,6.4
2016,53,13.25,6.6
2016,53,13.5,6.4
2016,53,13.75,6.8
2016,53,14,7.4
2016,53,14.25,7
2016,53,14.5,6.2
2016,53,14.75,6.5
2016,53,15,5.9
2016,53,15.25,6.5
2016,53,15.5,6.9
2016,52.75,5.5,10
2016,52.75,5.75,8.7
2016,52.75,6,9.1
2016,52.75,6.25,9
2016,52.75,6.5,8.7
2016,52.75,6.75,8.6
2016,52.75,7,8.4
2016,52.75,7.25,8.2
2016,52.75,7.5,8.2
2016,52.75,7.75,8.2
2016,52.75,8,8.1
2016,52.75,8.25,8
2016,52.75,8.5,8
2016,52.75,8.75,8.3
2016,52.75,9,8.8
2016,52.75,9.25,8.6
2016,52.75,9.5,8.4
2016,52.75,9.75,7.5
2016,52.75,10,7
2016,52.75,10.25,7
2016,52.75,10.5,7.5
2016,52.75,10.75,7.7
2016,52.75,11,7.8
2016,52.75,11.25,7.1
2016,52.75,11.5,7.4
2016,52.75,11.75,7.3
2016,52.75,12,7.6
