LAT,LON,01.01.2010,02.01.2010,03.01.2010,04.01.2010,05.01.2010,06.01.2010,07.01.2010,08.01.2010,09.01.2010,10.01.2010,11.01.2010,12.01.2010,13.01.2010,14.01.2010,15.01.2010,16.01.2010,17.01.2010,18.01.2010,19.01.2010,20.01.2010,21.01.2010,22.01.2010,23.01.2010,24.01.2010,25.01.2010,26.01.2010,27.01.2010,28.01.2010,29.01.2010,30.01.2010,31.01.2010
73.5,-27,3.890322,3.045268,3.82155,3.368646,4.210137,3.182885,2.648634,2.066713,1.540895,2.505995,3.089912,3.869637,3.887923,3.181657,3.025841,3.973157,3.218403,2.280846,2.920584,1.479066,2.856689,2.351503,3.242112,2.895037,3.643707,2.871908,4.173718,4.286012,4.131582,3.522137,2.215393
73.5,-26.5,3.786347,2.958239,3.54696,3.249035,4.036292,3.127017,2.525298,1.968467,1.261024,2.245452,3.001419,3.618528,3.617019,3.052026,2.830081,3.768861,2.962278,2.038291,2.730492,1.411556,2.651282,2.288392,3.103285,2.794966,3.425486,2.647053,3.876353,3.951155,3.908076,3.208403,2.034278
73.5,-26,3.685908,2.874099,3.273189,3.131279,3.863486,3.073016,2.404837,1.907555,1.016276,2.070989,2.931767,3.371304,3.347487,2.92411,2.634442,3.565411,2.706058,1.805341,2.546883,1.348855,2.44641,2.228969,2.965649,2.700232,3.210083,2.42772,3.581029,3.617092,3.684963,2.895262,1.857245
73.5,-25.5,3.589022,2.791976,3.000324,3.01517,3.692018,3.021395,2.28773,1.887144,0.8754399,2.053395,2.882433,3.127738,3.08002,2.797506,2.439275,3.363047,2.450136,1.587503,2.37029,1.291165,2.242147,2.172967,2.829635,2.611246,2.998056,2.215977,3.288028,3.28368,3.462442,2.583381,1.685578
73.5,-25,3.495951,2.712181,2.729005,2.901332,3.522222,2.972428,2.174561,1.905886,0.8481886,2.070929,2.854354,2.889005,2.814571,2.672777,2.244757,3.161705,2.194814,1.393129,2.20196,1.239769,2.03896,2.121817,2.695043,2.528745,2.790276,2.014275,2.998084,2.951381,3.240441,2.272976,1.521549
73.5,-24.5,3.511002,2.67715,2.58182,2.848972,3.46564,2.963921,2.100197,1.922104,0.8971061,2.11303,2.855602,2.766104,2.681414,2.626744,2.163023,3.083629,2.070249,1.307622,2.108985,1.29568,1.977888,2.155344,2.672834,2.512077,2.758939,1.913388,2.851091,2.804292,3.129938,2.083084,1.465639
73.5,-24,3.66377,2.690074,2.555522,2.85928,3.536668,3.005775,2.055326,1.911829,0.9979029,2.167474,2.875103,2.755875,2.683609,2.671924,2.216589,3.141069,2.10321,1.312587,2.079607,1.505629,2.094104,2.309662,2.79467,2.568163,2.949807,1.906312,2.843221,2.85256,3.133587,2.002077,1.525321
73.5,-23.5,3.882455,2.71767,2.528156,2.875173,3.639259,3.077262,2.001955,1.911602,1.159765,2.245402,2.906204,2.752237,2.699864,2.751025,2.324936,3.230035,2.206915,1.337317,2.040871,1.819652,2.286097,2.546211,2.986068,2.647822,3.242148,1.907576,2.833021,2.923155,3.144858,1.911353,1.618989
73.5,-23,4.220922,2.779936,2.508872,2.901683,3.799629,3.218567,1.944814,1.941724,1.439535,2.364874,2.960994,2.769666,2.754718,2.900336,2.548418,3.380796,2.470504,1.411649,1.98845,2.317803,2.614203,2.935178,3.305715,2.769635,3.718407,1.925828,2.819915,3.036199,3.176894,1.833067,1.777435
73.5,-22.5,4.784551,2.781754,2.10465,2.663368,3.804203,3.73623,1.780192,1.832226,2.399929,1.96853,2.365479,2.275281,2.845108,3.233393,3.275007,3.457661,3.216684,1.713946,1.461252,3.690892,3.150853,4.11663,3.766477,2.664168,4.571448,1.613853,2.621795,2.91184,2.94444,1.761252,2.032701
