Latitude,Longitude,Date,value
55.5,6,01.2010,4.866575457
55.5,6,02.2010,1.16925266
55.5,6,03.2010,4.774490569
55.5,6,04.2010,5.161111178
55.5,6,05.2010,3.8420654
55.5,6,06.2010,7.547278654
55.5,6,07.2010,5.75059799
55.5,6,08.2010,1.878925566
55.5,6,09.2010,7.468512502
55.5,6,10.2010,5.28211289
55.5,6,11.2010,9.124492557
55.5,6,12.2010,3.94976066
55.5,6,01.2011,3.385828195
55.5,6,02.2011,1.812429932
55.5,6,03.2011,3.17586461
55.5,6,04.2011,0.863407189
55.5,6,05.2011,1.076636498
55.5,6,06.2011,2.394200576
55.5,6,07.2011,3.585227392
55.5,6,08.2011,1.189020492
55.5,6,09.2011,1.866864055
55.5,6,10.2011,4.866897629
55.5,6,11.2011,1.88014546
55.5,6,12.2011,2.12916448
55.5,6,01.2012,4.43133129
55.5,6,02.2012,2.591274061
55.5,6,03.2012,3.680347814
55.5,6,04.2012,5.996591242
55.5,6,05.2012,5.832514584
55.5,6,06.2012,6.612402589
55.5,6,07.2012,1.591646127
55.5,6,08.2012,7.880350945
55.5,6,09.2012,3.77211955
55.5,6,10.2012,4.05202153
55.5,6,11.2012,2.705134014
55.5,6,12.2012,2.614604848
55.5,6,01.2013,2.431885758
55.5,6,02.2013,4.702684228
55.5,6,03.2013,2.995976124
55.5,6,04.2013,4.740924069
55.5,6,05.2013,5.46062425
55.5,6,06.2013,5.510752013
55.5,6,07.2013,3.981214118
55.5,6,08.2013,4.502888782
55.5,6,09.2013,0.406586779
55.5,6,10.2013,4.587576716
55.5,6,11.2013,9.255980283
55.5,6,12.2013,2.520889227
55.5,6,01.2014,4.86007716
55.5,6,02.2014,2.168160046
55.5,6,03.2014,3.611494594
55.5,6,04.2014,7.021411577
55.5,6,05.2014,4.360167489
55.5,6,06.2014,6.35717316
55.5,6,07.2014,6.070505388
55.5,6,08.2014,1.145175132
55.5,6,09.2014,3.557403816
55.5,6,10.2014,4.867243045
55.5,6,11.2014,3.49438989
55.5,6,12.2014,2.176080121
55.5,6,01.2015,2.915846954
55.5,6,02.2015,2.009997475
55.5,6,03.2015,1.395100056
55.5,6,04.2015,1.76032633
55.5,6,05.2015,5.92375136
55.5,6,06.2015,1.737482351
55.5,6,07.2015,3.197096434
55.5,6,08.2015,4.685301742
55.5,6,09.2015,3.66517101
55.5,6,10.2015,5.214287712
55.5,6,11.2015,1.101508486
55.5,6,12.2015,2.991220473
55.5,6,01.2016,3.727759161
55.5,6,02.2016,4.620349483
55.5,6,03.2016,1.655647813
55.5,6,04.2016,2.580764781
55.5,6,05.2016,6.239686146
55.5,6,06.2016,6.313914865
55.5,6,07.2016,2.115680821
55.5,6,08.2016,3.908905445
55.5,6,09.2016,1.200872813
55.5,6,10.2016,0.552275651
55.5,6,11.2016,4.82968205
55.5,6,12.2016,3.442080948
55.5,6,01.2017,3.077916507
55.5,6,02.2017,5.064777454
55.5,6,03.2017,3.252849581
55.5,6,04.2017,1.477101569
55.5,6,05.2017,2.16975402
55.5,6.75,01.2010,5.116342178
55.5,6.75,02.2010,1.259888122
55.5,6.75,03.2010,5.127909856
55.5,6.75,04.2010,5.213804921
55.5,6.75,05.2010,3.876112818
55.5,6.75,06.2010,7.575843828
55.5,6.75,07.2010,5.800203628
55.5,6.75,08.2010,2.441280006
55.5,6.75,09.2010,7.482130273
55.5,6.75,10.2010,5.378339239
55.5,6.75,11.2010,9.359637247
55.5,6.75,12.2010,4.130364793
55.5,6.75,01.2011,3.546918328
55.5,6.75,02.2011,1.691322237
55.5,6.75,03.2011,3.387993208
55.5,6.75,04.2011,1.017823739
55.5,6.75,05.2011,1.248129962
55.5,6.75,06.2011,2.648747808
55.5,6.75,07.2011,3.526818078
55.5,6.75,08.2011,1.494701229
55.5,6.75,09.2011,1.94503907
55.5,6.75,10.2011,5.036699527
55.5,6.75,11.2011,2.198780887
55.5,6.75,12.2011,2.275390737
55.5,6.75,01.2012,4.361527769
55.5,6.75,02.2012,2.489125743
55.5,6.75,03.2012,4.043315975
55.5,6.75,04.2012,6.282498535
55.5,6.75,05.2012,5.936541458
55.5,6.75,06.2012,6.59240135
55.5,6.75,07.2012,1.822805325
55.5,6.75,08.2012,7.976832406
55.5,6.75,09.2012,3.931345923
55.5,6.75,10.2012,3.843999823
55.5,6.75,11.2012,2.980492898
55.5,6.75,12.2012,2.452459152
55.5,6.75,01.2013,2.569217135
55.5,6.75,02.2013,4.889662702
55.5,6.75,03.2013,3.09556607
55.5,6.75,04.2013,5.023127759
55.5,6.75,05.2013,5.746075977
55.5,6.75,06.2013,5.896239648
55.5,6.75,07.2013,4.058566766
55.5,6.75,08.2013,4.831215833
55.5,6.75,09.2013,0.234169134
55.5,6.75,10.2013,4.737737101
55.5,6.75,11.2013,9.342577733
55.5,6.75,12.2013,2.668628326
55.5,6.75,01.2014,4.450074045
55.5,6.75,02.2014,2.542539986
55.5,6.75,03.2014,3.721502119
55.5,6.75,04.2014,7.064987995
55.5,6.75,05.2014,4.564745107
55.5,6.75,06.2014,6.474926506
55.5,6.75,07.2014,6.051973849
55.5,6.75,08.2014,1.207978752
55.5,6.75,09.2014,3.821678948
55.5,6.75,10.2014,4.881766828
55.5,6.75,11.2014,3.837861528
55.5,6.75,12.2014,2.0352203
55.5,6.75,01.2015,3.183630294
55.5,6.75,02.2015,2.046271614
55.5,6.75,03.2015,1.598289594
55.5,6.75,04.2015,1.793538857
55.5,6.75,05.2015,6.240531333
55.5,6.75,06.2015,1.917983516
55.5,6.75,07.2015,3.259736705
55.5,6.75,08.2015,4.992938601
55.5,6.75,09.2015,3.586035802
55.5,6.75,10.2015,5.601315676
55.5,6.75,11.2015,1.562823855
55.5,6.75,12.2015,3.102054325
55.5,6.75,01.2016,3.535011985
55.5,6.75,02.2016,4.814065703
55.5,6.75,03.2016,1.727204224
55.5,6.75,04.2016,2.643480966
55.5,6.75,05.2016,6.360670327
55.5,6.75,06.2016,6.391210806
55.5,6.75,07.2016,2.03782087
55.5,6.75,08.2016,3.799474044
55.5,6.75,09.2016,1.099783839
55.5,6.75,10.2016,0.671419534
55.5,6.75,11.2016,5.073731842
55.5,6.75,12.2016,3.394593376
55.5,6.75,01.2017,3.284739314
55.5,6.75,02.2017,5.342910142
55.5,6.75,03.2017,3.386582212
55.5,6.75,04.2017,1.445290381
55.5,6.75,05.2017,2.029272367
55.5,7.5,01.2010,4.679592146
55.5,7.5,02.2010,1.12438576
55.5,7.5,03.2010,4.767626
55.5,7.5,04.2010,4.471575924
55.5,7.5,05.2010,3.559311197
55.5,7.5,06.2010,6.662559041
55.5,7.5,07.2010,5.326504618
55.5,7.5,08.2010,2.619342342
55.5,7.5,09.2010,6.620000834
55.5,7.5,10.2010,4.780821482
55.5,7.5,11.2010,8.592348618
55.5,7.5,12.2010,3.784256002
55.5,7.5,01.2011,3.388591087
55.5,7.5,02.2011,1.433883843
55.5,7.5,03.2011,3.224849193
55.5,7.5,04.2011,1.150055949
55.5,7.5,05.2011,1.22503282
55.5,7.5,06.2011,2.693283632
55.5,7.5,07.2011,3.045316953
55.5,7.5,08.2011,1.5569158
55.5,7.5,09.2011,1.712917841
55.5,7.5,10.2011,4.616189252
55.5,7.5,11.2011,2.240191729
55.5,7.5,12.2011,1.996799859
55.5,7.5,01.2012,3.76833851
55.5,7.5,02.2012,2.020577094
55.5,7.5,03.2012,3.941042191
55.5,7.5,04.2012,5.707363673
55.5,7.5,05.2012,5.259662886
55.5,7.5,06.2012,5.776467838
55.5,7.5,07.2012,1.962263497
55.5,7.5,08.2012,7.12299135
55.5,7.5,09.2012,3.758228413
55.5,7.5,10.2012,3.274186066
55.5,7.5,11.2012,3.044371945
55.5,7.5,12.2012,2.086861533
55.5,7.5,01.2013,2.524052508
55.5,7.5,02.2013,4.613931683
55.5,7.5,03.2013,2.916268093
55.5,7.5,04.2013,4.866318575
55.5,7.5,05.2013,5.303133372
55.5,7.5,06.2013,5.736207124
55.5,7.5,07.2013,3.613573366
55.5,7.5,08.2013,4.623908602
55.5,7.5,09.2013,0.231519434
55.5,7.5,10.2013,4.244517072
55.5,7.5,11.2013,8.251789875
55.5,7.5,12.2013,2.562473442
55.5,7.5,01.2014,3.739536035
55.5,7.5,02.2014,2.538713834
55.5,7.5,03.2014,3.414860784
55.5,7.5,04.2014,6.220696372
55.5,7.5,05.2014,4.37290621
55.5,7.5,06.2014,5.79715168
55.5,7.5,07.2014,5.485532089
55.5,7.5,08.2014,1.0884227
55.5,7.5,09.2014,3.68128965
55.5,7.5,10.2014,4.296302452
55.5,7.5,11.2014,3.844820991
55.5,7.5,12.2014,1.735480909
55.5,7.5,01.2015,3.095494199
55.5,7.5,02.2015,2.001127096
55.5,7.5,03.2015,1.637308836
55.5,7.5,04.2015,1.585746873
55.5,7.5,05.2015,5.733660471
55.5,7.5,06.2015,1.924651253
55.5,7.5,07.2015,2.837240299
55.5,7.5,08.2015,4.858056444
55.5,7.5,09.2015,2.982051803
55.5,7.5,10.2015,5.323922504
55.5,7.5,11.2015,1.741647804
55.5,7.5,12.2015,2.821883859
55.5,7.5,01.2016,2.929259517
55.5,7.5,02.2016,4.347068079
55.5,7.5,03.2016,1.58105446
