LAT,LON,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
73.5,-27,0.6320543,0,0,0,0,0,0,0,0,0,0,0
73.5,-26.5,0.6017699,0,0,0,0,0,0,0,0,0,0,0
73.5,-26,0.5727757,0,0,0,0,0,0,0,0,0,0,0
73.5,-25.5,0.5451303,0,0,0,0,0,0,0,0,0,0,0
73.5,-25,0.5189127,0,0,0,0,0,0,0,0,0,0,0
73.5,-24.5,0.5141932,0,0,0,0,0,0,0,0,0,0,0
73.5,-24,0.5351409,0,0,0,0,0,0,0,0,0,0,0
73.5,-23.5,0.5673016,0,0,0,0,0,0,0,0,0,0,0
73.5,-23,0.6204104,0,0,0,0,0,0,0,0,0,0,0
73.5,-22.5,0.6832377,0,0,0,0,0,0,0,0,0,0,0
73.5,-22,0.8106676,0,0,0,0,0,0,0,0,0,0,0
73.5,-21.5,0.9461882,0,0,0,0,0,0,0,0,0,0,0
73.5,-21,1.079932,0,0,0,0,0,0,0,0,0,0,0
73.5,-20.5,1.208051,0,0,0,0,0,0,0,0,0,0,0
73.5,-20,1.304907,0,0,0,0,0,0,0,0,0,0,0
73.5,-19.5,1.381445,0,0,0,0,0,0,0,0,0,0,0
73.5,-19,1.464729,0,0,0,0,0,0,0,0,0,0,0
73.5,-18.5,1.554181,0,0,0,0,0,0,0,0,0,0,0
73.5,-18,1.649146,0,0,0,0,0,0,0,0,0,0,0
73.5,-17.5,1.655978,0,0,0,0,0,0,0,0,0,0,0
73.5,-17,1.668118,0,0,0,0,0,0,0,0,0,0,0
73.5,-16.5,1.686023,0,0,0,0,0,0,0,0,0,0,0
73.5,-16,1.709937,0,0,0,0,0,0,0,0,0,0,0
73.5,-15.5,1.725852,0,0,0,0,0,0,0,0,0,0,0
73.5,-15,1.731851,0,0,0,0,0,0,0,0,0,0,0
73.5,-14.5,1.743553,0,0,0,0,0,0,0,0,0,0,0
73.5,-14,1.761496,0,0,0,0,0,0,0,0,0,0,0
73.5,-13.5,1.785669,0,0,0,0,0,0,0,0,0,0,0
73.5,-13,1.764068,0,0,0,0,0,0,0,0,0,0,0
73.5,-12.5,1.74729,0,0,0,0,0,0,0,0,0,0,0
73.5,-12,1.736284,0,0,0,0,0,0,0,0,0,0,0
73.5,-11.5,1.730821,0,0,0,0,0,0,0,0,0,0,0
73.5,-11,1.715225,0,0,0,0,0,0,0,0,0,0,0
73.5,-10.5,1.688613,0,0,0,0,0,0,0,0,0,0,0
73.5,-10,1.666149,0,0,0,0,0,0,0,0,0,0,0
73.5,-9.5,1.648362,0,0,0,0,0,0,0,0,0,0,0
73.5,-9,1.636238,0,0,0,0,0,0,0,0,0,0,0
73.5,-8.5,1.61464,0,0,0,0,0,0,0,0,0,0,0
73.5,-8,1.598148,0,0,0,0,0,0,0,0,0,0,0
73.5,-7.5,1.589024,0,0,0,0,0,0,0,0,0,0,0
73.5,-7,1.58506,0,0,0,0,0,0,0,0,0,0,0
73.5,-6.5,1.575746,0,0,0,0,0,0,0,0,0,0,0
73.5,-6,1.560724,0,0,0,0,0,0,0,0,0,0,0
73.5,-5.5,1.550696,0,0,0,0,0,0,0,0,0,0,0
73.5,-5,1.546186,0,0,0,0,0,0,0,0,0,0,0
73.5,-4.5,1.545551,0,0,0,0,0,0,0,0,0,0,0
73.5,-4,1.532255,0,0,0,0,0,0,0,0,0,0,0
73.5,-3.5,1.522483,0,0,0,0,0,0,0,0,0,0,0
73.5,-3,1.515628,0,0,0,0,0,0,0,0,0,0,0
73.5,-2.5,1.511665,0,0,0,0,0,0,0,0,0,0,0
73.5,-2,1.504075,0,0,0,0,0,0,0,0,0,0,0
73.5,-1.5,1.492454,0,0,0,0,0,0,0,0,0,0,0
73.5,-1,1.483605,0,0,0,0,0,0,0,0,0,0,0
73.5,-0.5,1.47809,0,0,0,0,0,0,0,0,0,0,0
73.5,0,1.476665,0,0,0,0,0,0,0,0,0,0,0
73.5,0.5,1.470521,0,0,0,0,0,0,0,0,0,0,0
73.5,1,1.46813,0,0,0,0,0,0,0,0,0,0,0
73.5,1.5,1.469003,0,0,0,0,0,0,0,0,0,0,0
73.5,2,1.47317,0,0,0,0,0,0,0,0,0,0,0
73.5,2.5,1.477551,0,0,0,0,0,0,0,0,0,0,0
73.5,3,1.482065,0,0,0,0,0,0,0,0,0,0,0
73.5,3.5,1.489748,0,0,0,0,0,0,0,0,0,0,0
73.5,4,1.500833,0,0,0,0,0,0,0,0,0,0,0
73.5,4.5,1.515301,0,0,0,0,0,0,0,0,0,0,0
73.5,5,1.520664,0,0,0,0,0,0,0,0,0,0,0
73.5,5.5,1.529463,0,0,0,0,0,0,0,0,0,0,0
73.5,6,1.54173,0,0,0,0,0,0,0,0,0,0,0
73.5,6.5,1.557393,0,0,0,0,0,0,0,0,0,0,0
73.5,7,1.564761,0,0,0,0,0,0,0,0,0,0,0
73.5,7.5,1.564142,0,0,0,0,0,0,0,0,0,0,0
73.5,8,1.567172,0,0,0,0,0,0,0,0,0,0,0
73.5,8.5,1.573903,0,0,0,0,0,0,0,0,0,0,0
73.5,9,1.583726,0,0,0,0,0,0,0,0,0,0,0
73.5,9.5,1.578936,0,0,0,0,0,0,0,0,0,0,0
73.5,10,1.577408,0,0,0,0,0,0,0,0,0,0,0
73.5,10.5,1.578835,0,0,0,0,0,0,0,0,0,0,0
73.5,11,1.583115,0,0,0,0,0,0,0,0,0,0,0
73.5,11.5,1.584185,0,0,0,0,0,0,0,0,0,0,0
73.5,12,1.5817,0,0,0,0,0,0,0,0,0,0,0
73.5,12.5,1.581706,0,0,0,0,0,0,0,0,0,0,0
73.5,13,1.584202,0,0,0,0,0,0,0,0,0,0,0
73.5,13.5,1.589067,0,0,0,0,0,0,0,0,0,0,0
73.5,14,1.583797,0,0,0,0,0,0,0,0,0,0,0
73.5,14.5,1.581187,0,0,0,0,0,0,0,0,0,0,0
73.5,15,1.581466,0,0,0,0,0,0,0,0,0,0,0
73.5,15.5,1.584765,0,0,0,0,0,0,0,0,0,0,0
73.5,16,1.580897,0,0,0,0,0,0,0,0,0,0,0
73.5,16.5,1.569644,0,0,0,0,0,0,0,0,0,0,0
73.5,17,1.561381,0,0,0,0,0,0,0,0,0,0,0
73.5,17.5,1.556359,0,0,0,0,0,0,0,0,0,0,0
73.5,18,1.554263,0,0,0,0,0,0,0,0,0,0,0
73.5,18.5,1.542139,0,0,0,0,0,0,0,0,0,0,0
73.5,19,1.533449,0,0,0,0,0,0,0,0,0,0,0
73.5,19.5,1.528507,0,0,0,0,0,0,0,0,0,0,0
73.5,20,1.526688,0,0,0,0,0,0,0,0,0,0,0
73.5,20.5,1.522944,0,0,0,0,0,0,0,0,0,0,0
73.5,21,1.517335,0,0,0,0,0,0,0,0,0,0,0
73.5,21.5,1.514699,0,0,0,0,0,0,0,0,0,0,0
73.5,22,1.514484,0,0,0,0,0,0,0,0,0,0,0
73.5,22.5,1.516537,0,0,0,0,0,0,0,0,0,0,0
73.5,23,1.509973,0,0,0,0,0,0,0,0,0,0,0
73.5,23.5,1.505744,0,0,0,0,0,0,0,0,0,0,0
73.5,24,1.503798,0,0,0,0,0,0,0,0,0,0,0
73.5,24.5,1.504813,0,0,0,0,0,0,0,0,0,0,0
73.5,25,1.501708,0,0,0,0,0,0,0,0,0,0,0
73.5,25.5,1.494267,0,0,0,0,0,0,0,0,0,0,0
73.5,26,1.490704,0,0,0,0,0,0,0,0,0,0,0
73.5,26.5,1.49163,0,0,0,0,0,0,0,0,0,0,0
73.5,27,1.497027,0,0,0,0,0,0,0,0,0,0,0
73.5,27.5,1.492159,0,0,0,0,0,0,0,0,0,0,0
73.5,28,1.492118,0,0,0,0,0,0,0,0,0,0,0
73.5,28.5,1.496625,0,0,0,0,0,0,0,0,0,0,0
73.5,29,1.504924,0,0,0,0,0,0,0,0,0,0,0
73.5,29.5,1.510279,0,0,0,0,0,0,0,0,0,0,0
73.5,30,1.511733,0,0,0,0,0,0,0,0,0,0,0
73.5,30.5,1.515538,0,0,0,0,0,0,0,0,0,0,0
73.5,31,1.521957,0,0,0,0,0,0,0,0,0,0,0
73.5,31.5,1.531072,0,0,0,0,0,0,0,0,0,0,0
73.5,32,1.527132,0,0,0,0,0,0,0,0,0,0,0
73.5,32.5,1.525563,0,0,0,0,0,0,0,0,0,0,0
73.5,33,1.525897,0,0,0,0,0,0,0,0,0,0,0
73.5,33.5,1.527981,0,0,0,0,0,0,0,0,0,0,0
73.5,34,1.528074,0,0,0,0,0,0,0,0,0,0,0
73.5,34.5,1.526404,0,0,0,0,0,0,0,0,0,0,0
73.5,35,1.526816,0,0,0,0,0,0,0,0,0,0,0
73.5,35.5,1.529382,0,0,0,0,0,0,0,0,0,0,0
73.5,36,1.534281,0,0,0,0,0,0,0,0,0,0,0
73.5,36.5,1.524595,0,0,0,0,0,0,0,0,0,0,0
73.5,37,1.517837,0,0,0,0,0,0,0,0,0,0,0
