Latitude,Longitude,Manufacturer,Turbine,TurbineHubheight,Totalpower,CommisioningDate,durchmesser,turbinen id,Nennleistung
50,6,#ND,#ND,#ND,500,1995,,Standard,3300
50.242755,8.071772,#ND,#ND,#ND,225,1995,,Standard,3300
51.2270636,12.9468537,Neg Micon,#ND,#ND,16500,1998,,Standard,3300
53.0275,9.073333,#ND,#ND,#ND,1650,2003,,Standard,3300
53.0275,9.073333,Vestas,V80/2000,#ND,4000,2009,,V80/2000,2000
53.0275,9.073333,Vestas,V80/2000,60,8000,2003,,V80/2000,2000
53.0275,9.073333,Vestas,V66/1650,117,4950,2002,,V66/1650,1650
52.39,7.94,Nordex,N90/2300,105,20700,2005,,N90/2300,2300
54.7891781,9.0271702,#ND,#ND,#ND,3150,1999,,Standard,3300
52.2223915,11.4400907,GE Energy,1.5sl,85,1500,2003,,1.5sl,1500
52.22,11.48,Vestas,V80/2000,#ND,12000,2006,,V80/2000,2000
51.5826763,9.7485957,#ND,#ND,#ND,2400,2000,,Standard,3300
47.97,9.87,#ND,#ND,#ND,#ND,2006,,Standard,3300
52.19,9.74,Bonus,#ND,#ND,4000,2001,,Standard,3300
51.780055,11.694646,#ND,#ND,#ND,1000,2001,,Standard,3300
51.780055,11.694646,#ND,#ND,#ND,4600,2009,,Standard,3300
51.780055,11.694646,Enercon,E66/1800,#ND,9000,2000,,E66/1800,1820
51.780055,11.694646,Enercon,E66/1800,#ND,25200,2001,,E66/1800,1820
54.12025026,11.99629784,Enercon,#ND,#ND,500,1996,,Standard,3300
54.12025026,11.99629784,#ND,#ND,#ND,2400,1997,,Standard,3300
50.32,12.26,Dewind,D6-1000,69,4000,2002,,D6-1000,1000
52.048283,9.259595,#ND,#ND,#ND,1800,2004,,Standard,3300
52.048283,9.259595,Südwind,S70/1500,#ND,4500,2002,,S70/1500,1500
53.561493,9.564814,#ND,#ND,#ND,4950,2001,,Standard,3300
52.0766382,7.0082105,#ND,#ND,#ND,2000,2004,,Standard,3300
52.0766382,7.0082105,#ND,#ND,#ND,1200,1998,,Standard,3300
52.0766382,7.0082105,#ND,#ND,#ND,1000,1995,,Standard,3300
52.0766382,7.0082105,Enercon,E58/1000,#ND,4000,2003,,Standard,3300
51.762481,7.88604,Senvion,MM92/2050,100,4100,2013,,MM92/2050,2050
53.4078194,9.4552871,#ND,#ND,#ND,800,2009,,Standard,3300
53.4078194,9.4552871,#ND,#ND,#ND,600,1995,,Standard,3300
51.846372,13.200687,Enercon,E40/600,#ND,1200,2002,,E40/600,600
52.6221563,10.2468552,Enercon,E70/2300,#ND,2300,2010,,E70/2300,2310
52.6221563,10.2468552,Enercon,E82/2300,#ND,2300,2010,,E82/2300,2300
53.4078194,9.4552871,Enercon,E40/600,#ND,12000,2001,,E40/600,600
54.523811,9.193453,Nordex,N80/2500,#ND,12500,2003,,N80/2500,2500
48.89,9.66,Fuhrländer,FL 1000/54,#ND,1000,2004,,FL 1000/54,1037
48.4829292,10.0584234,#ND,#ND,#ND,#ND,2006,,Standard,3300
54.1466875,9.2835291,Enercon,E66/1800,#ND,1800,2002,,E66/1800,1820
54.1466875,9.2835291,Enercon,E66/1500,#ND,3000,2002,,Standard,3300
54.1466875,9.2835291,#ND,#ND,#ND,220,1993,,Standard,3300
